package_name,name,link1,link2
com.liannasoft.editorcam,4K Camera Hyper Photo Filters,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.liferun.freegame,Life Run,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.lightling.creatortoon.cartoon,Lighting Creator Toon,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.lightning.vpn.proxys,Lightning VPN,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.likefile.superfile,Files Clear,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.lilaihua.photoeditor,PhotoEditor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.lofacartoon.azwajstudio,Lofa – Studio Photo Cartoon,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.luckycatcher.freegame,Lucky Catcher – Catch Them All,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.lucpro.luckypro,Lucky Number Pro,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.lujeqari.videoremaker,Video Remaker,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.madtoon.aicartoon.kiroah,MadToon Face Cartoon,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.magic.world.daily.mhoroscope,Magic Horoscope,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.marcyl.wagbversion.gblatest.gbproversion.lite,GB WA Warna Latest Version,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.masto.kicter,Free Comic Photos,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.maxinetate.jessicabailey.fosterphotoeffect,Foster – Cartoon Photo Effect,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.merkee.neosnap.photo.editor.pro,NeoSnap Photo Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.meta.adsformeta2,Business Ads for Meta,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.meta.adsformeta3,Business Meta Manager,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.meta.optimizer,Meta Optimizer – Ads Analysis,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.meteor.fast.connection,Meteor vpn,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.mexsier.nebwallpaper,Nebula Wallpaper,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.milohoward.rosalindvega.theobarber.photoframeeffecteditor,Photo Editor – Frame Effect,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.mkce.fsvc,Full Screen Video Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.mnbeautif.lanchmn,Nice Photo,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.moker.sticker,Sticker Maker Pro,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.mold.figure.gym,Mold Figure Gym,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.mood.camerapluss,Mood Camera,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.mosiaguda.astrohoroscope,Astro Horoscope Guide 2022,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.mumu.music.mmp,MuMus Music Player,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.newsandpic.cityphoto,Photo PIP 2022,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.niceimg.editorsa,Camera PIP,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.nuclearpower.vpnp,Nuclear VPN Proxy,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
